자치구,동,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10,다수업종 상위10
자치구,동,택시운송업,택시운송업,한식 일반 음식점업,한식 일반 음식점업,용달 화물자동차 운송업,용달 화물자동차 운송업,부동산 중개 및 대리업,부동산 중개 및 대리업,두발미용업,두발미용업,커피전문점,커피전문점,남녀용 겉옷 및 셔츠 도매업,남녀용 겉옷 및 셔츠 도매업,기타주점업,기타주점업,일반 교과 학원,일반 교과 학원,한식 육류요리 전문점,한식 육류요리 전문점
자치구,동,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
합계,합계,"47,176","76,701","29,225","100,183","28,494","29,356","24,013","42,636","18,080","36,214","16,255","57,322","13,388","51,116","13,339","31,371","11,911","50,773","11,109","44,653"
종로구,소계,215,215,"1,548","5,912",618,646,549,889,261,480,948,"3,613",400,962,537,"1,413",110,382,437,"1,982"
종로구,사직동,7,7,230,982,12,12,57,96,28,66,124,525,2,18,74,177,9,34,45,220
종로구,삼청동,5,5,42,145,4,4,9,10,-,-,66,243,2,3,3,8,-,-,7,33
종로구,부암동,22,22,26,100,9,9,17,26,8,10,24,62,3,6,7,23,16,59,3,15
종로구,평창동,10,10,31,116,11,11,33,52,19,28,19,62,2,4,26,54,25,71,10,103
종로구,무악동,10,10,10,26,410,416,12,17,9,10,7,15,-,-,-,-,14,50,1,2
종로구,교남동,14,14,14,44,7,7,26,37,11,25,13,55,-,-,1,1,5,22,3,15
종로구,가회동,9,9,57,270,7,7,16,23,8,8,46,133,2,2,5,9,3,10,6,21
종로구,종로1.2.3.4가동,1,1,565,"2,396",3,11,111,271,37,81,284,"1,360",210,376,237,674,8,50,192,996
종로구,종로5·6가동,6,6,176,542,11,25,71,84,17,25,72,197,71,192,36,74,-,-,51,204
종로구,이화동,4,4,71,395,17,17,13,13,8,32,69,338,9,127,27,108,2,14,11,45
종로구,창신1동,13,13,64,148,11,11,27,34,10,18,16,38,64,164,17,31,2,6,14,39
종로구,창신2동,16,16,37,89,24,24,13,15,19,21,9,22,3,7,9,14,1,6,19,42
종로구,창신3동,16,16,9,24,17,17,15,22,9,15,7,9,2,4,1,2,2,6,1,1
종로구,숭인1동,16,16,11,26,18,18,12,15,13,21,5,14,9,19,3,5,4,16,2,3
종로구,숭인2동,7,7,55,156,19,19,38,51,17,31,20,86,19,33,20,37,1,1,18,56
종로구,청운효자동,22,22,42,138,16,16,29,39,16,27,65,156,1,1,11,23,7,22,11,23
종로구,혜화동,37,37,108,315,22,22,50,84,32,62,102,298,1,6,60,173,11,15,43,164
중구,소계,230,235,"1,588","6,414",300,333,576,"1,152",339,816,869,"3,542","10,810","24,248",381,982,57,175,443,"2,121"
중구,소공동,2,2,193,"1,016",-,-,22,54,18,50,141,669,6,97,24,74,-,-,44,284
중구,회현동,4,8,149,621,3,3,18,33,23,43,93,372,"1,328","2,138",20,39,-,-,32,188
중구,명동,1,1,300,"1,455",2,2,80,355,54,252,233,"1,126",20,738,55,204,3,15,87,517
중구,필동,6,6,120,457,6,6,28,59,13,18,73,236,-,-,38,80,4,12,19,74
중구,장충동,11,11,46,146,4,4,11,16,6,13,24,87,35,567,6,18,1,1,13,42
중구,광희동,6,6,172,673,16,39,60,90,16,61,73,272,751,"1,732",45,111,-,-,67,272
중구,을지로동,1,1,181,648,6,6,58,78,9,15,79,283,405,842,61,166,-,-,29,127
중구,신당5동,15,15,65,161,29,35,30,36,24,33,9,15,32,137,35,54,4,4,27,79
중구,황학동,11,11,80,213,24,24,38,57,25,41,13,36,44,116,18,37,1,1,37,118
중구,중림동,24,24,63,216,25,29,26,67,22,47,35,139,2,168,18,46,4,11,18,87
중구,신당동,5,5,78,262,19,19,92,130,25,44,37,132,"8,054","17,119",21,55,2,6,22,83
중구,다산동,33,33,58,205,53,53,23,39,22,38,24,78,38,187,18,48,8,24,22,152
중구,약수동,53,54,34,160,40,40,35,47,34,64,9,30,5,47,9,24,5,14,13,51
중구,청구동,38,38,20,94,43,43,25,40,20,43,12,31,33,124,8,18,20,72,6,23
중구,동화동,20,20,29,87,30,30,30,51,28,54,14,36,57,236,5,8,5,15,7,24
용산구,소계,416,523,857,"2,987",455,466,791,"1,214",366,777,634,"2,076",54,317,487,"1,332",104,573,300,"1,184"
용산구,후암동,46,46,37,142,56,56,44,55,22,39,36,85,6,28,8,9,15,43,15,59
용산구,용산2가동,35,35,24,80,31,31,23,36,18,20,32,77,2,2,33,73,5,9,4,10
용산구,남영동,4,4,107,397,8,8,21,31,19,36,55,199,3,6,37,109,2,11,40,144
용산구,원효로2동,31,31,38,105,47,47,32,50,19,19,13,38,-,-,8,13,16,45,5,8
용산구,효창동,31,31,12,30,30,30,18,24,7,8,17,66,1,5,1,2,7,33,2,6
용산구,용문동,27,27,24,69,36,36,25,37,28,41,9,23,2,46,16,27,11,23,13,33
용산구,이촌1동,11,11,37,116,5,5,58,86,29,86,17,101,1,1,15,51,12,42,12,58
용산구,이촌2동,30,30,10,19,36,40,30,41,8,8,7,15,-,-,-,-,1,1,1,3
용산구,이태원1동,8,8,71,301,9,9,34,52,12,22,48,166,3,11,136,510,-,-,19,80
용산구,이태원2동,35,35,29,97,18,18,35,40,14,21,39,92,5,11,52,118,1,7,7,22
용산구,서빙고동,21,128,15,62,17,17,21,31,11,14,10,35,2,11,1,1,4,13,1,5
용산구,보광동,44,44,38,83,31,35,65,91,40,51,17,32,4,6,18,31,7,26,26,66
용산구,청파동,38,38,71,178,64,67,59,79,47,105,64,158,4,87,33,61,7,24,25,73
용산구,원효로1동,15,15,76,226,28,28,63,81,18,32,43,111,2,2,33,66,8,22,28,109
용산구,한강로동,7,7,182,732,12,12,166,278,39,187,144,512,6,16,37,83,-,-,65,305
용산구,한남동,33,33,86,350,27,27,97,202,35,88,83,366,13,85,59,178,8,274,37,203
성동구,소계,"1,200","2,527",956,"2,785","1,072","1,161",801,"1,453",489,851,547,"1,859",149,"1,572",285,621,258,"1,494",400,"1,545"
성동구,왕십리2동,37,37,26,60,57,134,40,64,25,42,13,37,5,11,7,17,10,49,7,24
성동구,마장동,438,579,61,153,83,85,36,53,26,29,17,45,7,17,15,29,15,43,44,195
성동구,사근동,21,21,76,274,38,38,35,48,24,71,66,281,-,-,53,170,2,5,44,177
성동구,행당1동,37,37,72,194,54,54,40,59,37,87,35,175,2,7,18,40,18,90,37,151
성동구,행당2동,51,51,8,17,49,49,33,56,27,38,16,33,-,-,2,3,40,139,5,37
성동구,응봉동,43,43,7,18,45,45,13,19,12,14,5,16,1,1,2,3,17,49,2,5
성동구,금호1가동,61,61,9,16,44,44,30,59,23,35,13,32,1,5,6,17,19,102,7,23
성동구,금호4가동,38,38,25,57,29,30,40,64,28,56,10,52,-,-,16,37,11,23,15,47
성동구,성수1가1동,53,53,44,114,48,50,66,139,27,48,33,109,14,358,7,9,18,67,11,48
성동구,성수1가2동,70,885,106,376,39,42,55,110,25,32,85,219,17,129,16,28,12,54,36,146
성동구,성수2가1동,71,71,88,228,73,74,46,64,34,65,54,184,8,251,34,60,6,47,41,107
성동구,성수2가3동,36,248,155,522,288,289,100,323,18,25,83,306,45,598,19,32,14,529,40,147
성동구,송정동,58,58,23,52,43,43,20,26,18,19,6,9,2,2,5,5,5,9,8,18
성동구,용답동,46,205,81,234,45,47,31,40,26,38,24,64,18,84,28,55,6,17,21,69
성동구,왕십리도선동,45,45,90,258,56,56,109,180,57,124,49,185,24,95,33,65,22,119,56,282
성동구,금호2.3가동,62,62,61,129,57,57,49,64,55,73,18,47,1,1,20,37,16,34,16,35
성동구,옥수동,33,33,24,83,24,24,58,85,27,55,20,65,4,13,4,14,27,118,10,34
광진구,소계,"1,119","1,744",963,"2,861",968,985,871,"1,313",746,"1,337",590,"1,887",89,687,633,"1,577",413,"1,646",467,"1,678"
광진구,화양동,39,39,129,432,34,34,77,129,72,224,125,471,5,113,204,705,8,57,108,422
광진구,군자동,59,216,63,216,47,51,53,74,49,78,48,179,6,38,53,111,13,112,34,113
광진구,중곡1동,72,176,68,154,67,67,50,89,41,47,20,29,10,74,44,69,13,31,23,73
광진구,중곡2동,79,79,52,160,75,78,64,83,61,78,31,66,13,48,34,63,32,81,20,82
광진구,중곡3동,99,211,40,95,67,67,45,64,49,66,26,73,6,21,47,81,12,34,23,56
광진구,중곡4동,157,258,48,123,121,121,43,59,56,70,28,74,4,34,28,55,33,146,20,65
광진구,능동,34,34,24,90,27,27,24,38,15,27,19,56,7,54,24,57,4,5,19,75
광진구,구의1동,47,47,78,230,52,56,80,112,56,82,36,80,6,11,54,155,24,83,54,183
광진구,구의2동,126,277,63,139,119,119,54,84,39,56,29,98,1,2,22,36,21,56,19,52
광진구,구의3동,47,47,104,326,34,34,71,117,57,143,47,199,4,93,21,51,99,419,28,127
광진구,광장동,39,39,48,177,17,17,68,97,34,53,38,125,16,179,12,29,56,266,16,92
광진구,자양1동,71,71,88,256,79,79,68,119,65,110,32,91,1,1,20,38,14,79,31,88
광진구,자양2동,105,105,35,95,81,86,53,88,51,68,28,75,2,4,27,50,34,112,22,79
광진구,자양3동,76,76,43,159,77,77,66,87,43,105,37,117,4,10,8,18,47,161,19,70
광진구,자양4동,69,69,80,209,71,72,55,73,58,130,46,154,4,5,35,59,3,4,31,101
동대문구,소계,"1,546","2,093","1,236","3,566","1,431","1,456",842,"1,208",611,891,494,"1,472",211,976,499,"1,082",302,984,442,"1,509"
동대문구,회기동,18,18,74,245,20,20,25,36,31,85,57,196,1,1,67,183,7,16,29,108
동대문구,휘경1동,42,42,39,105,25,25,42,66,21,41,18,65,3,124,17,49,10,31,23,93
동대문구,휘경2동,123,123,31,80,445,445,40,62,24,28,29,67,1,1,8,21,14,53,3,8
동대문구,청량리동,67,67,94,230,61,63,47,73,44,58,23,60,-,-,27,54,8,24,30,99
동대문구,용신동,71,71,237,683,82,97,111,168,49,68,75,206,66,259,47,92,16,86,59,217
동대문구,제기동,47,47,163,424,75,76,74,104,40,47,36,72,12,47,67,110,16,42,27,74
동대문구,전농1동,101,101,117,424,79,81,92,130,70,97,40,112,8,20,38,87,25,64,42,116
동대문구,전농2동,91,91,24,53,61,61,20,24,33,36,17,52,2,2,8,22,32,57,7,19
동대문구,답십리1동,286,286,52,164,85,85,67,82,30,45,24,96,5,16,20,39,26,100,17,45
동대문구,답십리2동,145,145,64,173,116,118,58,73,43,64,20,61,7,19,27,61,20,65,22,93
동대문구,장안1동,202,444,162,489,158,159,106,166,74,97,46,150,73,392,64,127,19,73,69,260
동대문구,장안2동,198,388,114,335,129,131,73,98,82,121,43,145,31,91,58,126,75,273,67,258
동대문구,이문1동,60,60,56,143,45,45,54,83,45,76,54,164,2,4,36,86,16,53,31,78
동대문구,이문2동,95,210,9,18,50,50,33,43,25,28,12,26,-,-,15,25,18,47,16,41
중랑구,소계,"3,634","6,262",991,"2,479","1,804","1,877",738,"1,104",790,"1,108",381,"1,037",63,284,535,"1,000",288,"1,045",499,"1,504"
중랑구,면목2동,167,329,80,176,130,142,46,70,61,66,23,58,8,34,26,43,20,57,35,83
중랑구,면목4동,154,154,28,51,100,102,32,40,33,35,18,31,3,8,23,39,25,63,16,36
중랑구,면목5동,68,305,23,56,85,99,22,34,19,20,4,9,3,10,9,15,1,2,14,36
중랑구,면목7동,109,242,57,165,88,88,51,83,50,75,16,52,4,9,36,53,12,75,22,88
중랑구,상봉1동,157,919,15,47,90,90,31,51,40,64,26,98,3,18,10,16,16,30,14,35
중랑구,상봉2동,85,213,127,308,66,67,74,148,40,92,39,150,4,19,73,146,-,-,88,266
중랑구,중화1동,136,136,24,57,79,79,39,56,40,53,14,21,2,7,9,14,20,75,9,24
중랑구,중화2동,159,235,90,215,112,124,44,71,62,84,22,42,4,8,66,122,4,7,44,136
중랑구,묵1동,181,181,54,164,133,133,56,73,61,87,37,110,7,36,23,41,18,67,32,82
중랑구,묵2동,126,126,58,126,86,86,47,63,46,54,20,38,5,16,34,68,15,32,29,83
중랑구,망우3동,115,284,36,77,91,100,25,28,38,42,13,18,1,3,15,17,10,19,13,43
중랑구,신내1동,388,"1,031",55,171,201,213,43,58,48,63,35,105,4,28,24,40,46,196,40,157
중랑구,신내2동,200,200,29,106,75,75,30,41,33,76,14,43,-,-,8,19,48,195,10,39
중랑구,면목본동,153,153,98,230,168,178,80,110,76,89,33,84,4,29,55,103,17,39,38,115
중랑구,면목3.8동,183,183,100,224,126,127,56,82,69,111,32,88,5,32,65,155,17,60,40,132
중랑구,망우본동,"1,253","1,571",117,306,174,174,62,96,74,97,35,90,6,27,59,109,19,128,55,149
성북구,소계,"1,835","2,643",973,"2,822","1,312","1,335",846,"1,175",739,"1,245",457,"1,384",85,454,512,"1,030",464,"1,755",365,"1,334"
성북구,돈암1동,54,54,7,22,35,35,17,23,12,14,4,16,1,1,4,7,15,223,4,87
성북구,돈암2동,62,62,7,27,33,33,29,33,14,19,6,16,2,2,1,2,29,70,3,6
성북구,안암동,38,38,86,346,39,41,35,46,39,99,69,237,24,83,57,136,7,11,21,66
성북구,보문동,206,206,48,121,47,47,40,53,32,46,11,32,16,64,24,53,10,35,16,38
성북구,정릉1동,87,87,20,48,42,42,31,46,28,33,15,48,-,-,7,11,29,57,12,31
성북구,정릉2동,132,273,30,80,94,100,30,43,29,40,11,36,1,1,11,17,21,87,13,38
성북구,정릉3동,95,95,35,77,50,50,16,22,24,31,16,34,-,-,18,33,2,8,20,63
성북구,정릉4동,136,275,37,84,74,74,35,49,29,51,16,42,1,3,18,32,13,34,13,29
성북구,길음1동,91,91,24,66,57,57,53,96,37,75,20,76,1,1,43,78,43,194,8,32
성북구,길음2동,34,34,38,126,36,38,46,77,29,76,26,85,1,28,7,8,27,76,8,84
성북구,월곡1동,144,144,40,104,108,108,41,62,42,60,17,46,4,101,7,9,38,125,12,31
성북구,월곡2동,60,60,68,176,66,66,34,45,51,83,43,137,5,16,21,45,13,46,31,105
성북구,장위1동,87,87,36,84,96,96,38,47,34,38,12,22,2,2,22,31,6,9,12,28
성북구,장위2동,83,83,49,92,73,73,49,62,29,31,6,13,4,10,40,63,8,19,14,46
성북구,장위3동,68,361,14,40,62,62,46,63,15,18,7,29,-,-,7,12,12,32,8,29
성북구,성북동,40,40,48,245,27,27,40,53,32,47,35,102,3,59,12,28,28,76,9,34
성북구,삼선동,74,74,116,281,56,56,55,76,47,68,32,86,6,12,56,90,36,97,34,98
성북구,동선동,27,27,81,250,29,31,70,86,82,236,52,179,5,27,70,218,54,324,66,299
성북구,종암동,119,119,89,228,124,124,62,84,64,94,31,92,7,42,32,51,48,175,25,100
성북구,석관동,198,433,100,325,164,175,79,109,70,86,28,56,2,2,55,106,25,57,36,90
강북구,소계,"1,713","2,589",965,"2,663","1,024","1,030",589,867,673,997,358,"1,095",40,94,580,"1,275",220,740,362,"1,176"
강북구,번1동,98,227,86,241,53,53,60,89,62,112,38,136,2,2,60,116,13,44,33,114
강북구,번2동,108,108,17,37,71,71,10,17,21,23,9,16,3,25,8,13,1,1,5,19
강북구,번3동,310,409,21,52,61,61,12,16,22,25,13,49,-,-,11,20,20,51,6,16
강북구,수유1동,97,226,77,160,79,82,38,53,43,49,19,39,6,10,23,35,15,38,23,48
강북구,수유2동,112,112,47,128,81,81,41,54,57,65,15,26,2,3,30,45,13,42,13,45
강북구,수유3동,81,81,163,445,62,62,84,150,81,135,52,184,7,11,159,488,6,29,85,317
강북구,삼양동,116,238,37,79,116,119,29,48,49,80,9,20,-,-,14,25,30,72,7,17
강북구,미아동,80,80,89,241,71,71,70,99,85,151,34,98,12,22,55,94,10,57,34,102
강북구,송중동,149,149,110,397,74,74,61,72,69,114,43,163,2,4,81,216,31,101,56,191
강북구,송천동,122,251,115,263,80,80,71,115,74,108,26,71,1,5,59,94,22,66,51,159
강북구,삼각산동,85,85,27,57,77,77,46,62,29,44,17,51,1,1,14,20,40,171,9,20
강북구,우이동,135,231,122,424,64,64,23,31,20,24,47,141,2,9,41,69,3,11,20,83
강북구,인수동,220,392,54,139,135,135,44,61,61,67,36,101,2,2,25,40,16,57,20,45
도봉구,소계,"2,993","5,783",672,"2,009","1,571","1,574",515,794,600,847,288,837,22,43,258,477,351,"1,162",302,943
도봉구,쌍문1동,202,373,21,66,77,77,18,23,32,42,25,54,1,2,6,7,14,44,12,39
도봉구,쌍문2동,141,427,50,156,82,82,30,49,53,91,21,61,-,-,19,39,38,159,18,69
도봉구,쌍문3동,68,68,35,102,53,53,38,61,35,47,18,58,-,-,13,25,10,21,19,68
도봉구,쌍문4동,113,113,4,14,51,51,16,31,27,42,8,23,1,1,2,9,61,175,5,21
도봉구,방학1동,218,925,131,426,96,96,76,126,80,121,41,132,1,1,46,72,38,138,51,162
도봉구,방학2동,176,176,42,84,78,78,24,42,55,66,13,28,2,5,7,16,14,46,18,41
도봉구,방학3동,241,422,22,104,99,99,20,34,16,27,14,40,-,-,2,5,22,51,10,29
도봉구,창1동,177,177,39,105,503,503,43,58,42,69,22,88,2,2,10,28,11,25,17,57
도봉구,창2동,173,371,47,97,137,140,44,65,62,68,15,27,2,2,17,24,21,79,14,36
도봉구,창3동,128,128,30,65,77,77,27,36,35,40,10,16,2,2,25,42,10,13,20,45
도봉구,창4동,153,539,41,168,60,60,40,76,29,42,16,68,2,2,22,54,39,134,18,51
도봉구,창5동,802,929,52,265,73,73,50,67,46,75,39,118,1,2,20,34,52,220,28,123
도봉구,도봉1동,163,418,114,250,97,97,47,66,47,62,25,75,2,5,41,82,2,11,49,127
도봉구,도봉2동,238,717,44,107,88,88,42,60,41,55,21,49,6,19,28,40,19,46,23,75
노원구,소계,"4,114","6,074",866,"2,650","1,730","1,736",714,"1,053",782,"1,353",535,"1,748",30,123,355,844,735,"3,281",428,"1,557"
노원구,월계1동,124,479,84,216,85,85,39,50,37,62,42,123,2,11,32,90,18,42,39,93
노원구,월계2동,291,378,14,30,129,129,16,21,25,34,16,37,1,2,3,3,13,39,6,14
노원구,월계3동,207,207,24,77,153,156,33,47,30,54,17,44,4,4,-,-,19,47,2,7
노원구,공릉2동,279,622,60,165,176,179,63,78,60,91,68,172,-,-,21,40,43,101,36,112
노원구,하계1동,80,152,45,143,56,56,21,35,22,36,28,75,2,20,9,16,26,94,14,73
노원구,하계2동,109,109,8,26,65,65,16,24,16,31,2,4,-,-,2,2,16,55,2,5
노원구,중계본동,112,210,33,94,72,72,35,55,37,54,31,90,-,-,12,28,158,990,10,41
노원구,중계1동,108,108,22,71,44,44,36,48,36,71,21,79,-,-,6,11,140,775,5,28
노원구,중계4동,113,113,51,163,74,74,22,33,32,56,20,59,-,-,27,63,28,103,30,114
노원구,상계1동,"1,366","1,712",90,272,174,174,60,95,70,105,43,119,4,53,26,44,35,125,47,264
노원구,상계2동,85,194,102,418,55,55,68,114,83,222,67,350,-,-,79,275,23,197,81,329
노원구,상계5동,93,144,51,114,76,76,54,73,66,88,21,56,2,6,23,32,35,112,28,72
노원구,상계8동,58,58,12,27,24,24,16,22,16,25,7,10,1,1,3,8,33,95,5,11
노원구,상계9동,159,159,14,30,69,69,22,31,21,29,9,20,1,1,2,4,36,131,6,23
노원구,상계10동,126,126,5,16,60,60,12,18,11,19,5,21,3,3,1,1,11,22,2,4
노원구,상계3.4동,165,165,51,103,118,118,42,55,42,51,17,32,2,2,34,50,15,39,19,37
노원구,상계6.7동,183,183,72,301,67,67,61,103,55,149,26,167,1,1,17,45,46,230,17,58
노원구,중계2.3동,172,172,24,70,108,108,24,44,38,60,18,81,2,4,9,22,19,42,10,30
노원구,공릉1동,284,783,104,314,125,125,74,107,85,116,77,209,5,15,49,110,21,42,69,242
은평구,소계,"3,108","4,430",881,"2,585","1,340","1,349","1,134","1,614",947,"1,443",457,"1,296",26,74,484,925,551,"1,793",476,"1,639"
은평구,녹번동,110,110,61,189,275,275,95,126,59,82,40,88,4,13,19,32,26,87,35,139
은평구,불광1동,171,171,70,172,69,69,100,174,67,114,35,94,-,-,37,79,35,90,25,84
은평구,갈현1동,102,102,62,185,56,56,70,104,63,89,26,93,-,-,67,169,28,108,52,181
은평구,갈현2동,128,128,52,151,64,64,55,73,75,108,33,92,1,1,45,109,65,295,50,160
은평구,구산동,221,321,19,48,106,106,44,62,50,56,21,64,-,-,8,9,38,110,13,38
은평구,대조동,107,107,111,334,69,74,134,191,78,117,46,150,6,6,53,103,29,110,53,177
은평구,응암1동,110,110,50,167,74,74,89,125,55,113,37,126,2,12,34,53,34,187,25,114
은평구,응암2동,87,87,24,52,47,47,59,75,30,41,15,27,-,-,11,18,20,45,10,20
은평구,신사1동,187,266,28,113,91,95,63,87,62,78,21,47,-,-,9,13,21,60,29,95
은평구,신사2동,"1,008","1,232",14,36,73,73,32,38,38,46,12,17,-,-,7,13,24,58,8,18
은평구,증산동,120,734,46,99,63,63,40,46,34,38,14,45,1,2,12,15,14,32,18,51
은평구,수색동,50,50,28,73,23,23,38,48,14,23,6,17,1,4,19,23,4,14,5,11
은평구,진관동,173,478,71,377,60,60,97,153,61,177,62,216,1,11,4,7,87,245,37,230
은평구,불광2동,131,131,68,135,70,70,53,81,64,82,12,38,4,9,35,45,22,82,22,42
은평구,응암3동,131,131,100,240,55,55,56,86,75,95,35,79,1,3,51,99,25,66,48,149
은평구,역촌동,272,272,77,214,145,145,109,145,122,184,42,103,5,13,73,138,79,204,46,130
서대문구,소계,"1,747","2,677",863,"2,694",802,808,667,956,598,"1,185",370,"1,323",22,68,497,"1,127",361,"1,268",311,"1,088"
서대문구,천연동,31,31,44,111,31,31,33,42,26,31,18,48,-,-,28,42,24,61,13,44
서대문구,홍제1동,71,71,45,143,64,64,42,59,40,69,16,55,1,1,17,27,27,72,17,61
서대문구,홍제3동,69,69,66,129,53,53,28,46,33,43,11,12,-,-,28,52,30,87,17,50
서대문구,홍제2동,40,40,22,60,29,29,28,38,20,27,6,25,-,-,8,13,26,54,7,22
서대문구,홍은1동,90,90,36,85,70,70,35,44,39,46,7,23,1,1,16,24,27,47,15,44
서대문구,홍은2동,127,127,56,179,93,93,31,43,29,35,14,41,1,1,24,53,46,304,18,42
서대문구,남가좌1동,39,39,37,94,27,27,29,36,14,19,7,38,-,-,18,37,8,17,9,25
서대문구,남가좌2동,112,112,61,163,70,70,62,82,55,97,26,57,1,6,31,66,36,131,20,49
서대문구,북가좌1동,105,638,16,38,41,41,29,47,18,59,9,19,-,-,4,4,22,79,6,17
서대문구,북가좌2동,856,"1,086",59,169,143,147,73,107,81,114,24,50,-,-,39,60,55,156,23,65
서대문구,충현동,42,42,127,415,34,34,49,65,27,37,57,178,5,24,35,77,7,18,32,108
서대문구,북아현동,35,35,29,85,38,40,81,117,18,38,5,19,1,5,17,27,12,29,7,17
서대문구,신촌동,17,17,185,780,20,20,78,141,133,476,134,642,7,11,188,561,11,95,105,458
서대문구,연희동,113,280,80,243,89,89,69,89,65,94,36,116,5,19,44,84,30,118,22,86
마포구,소계,"1,165","1,838","1,411","4,705",770,829,"1,149","1,903",896,"2,042","1,369","4,475",96,"1,209","1,011","2,559",469,"1,855",701,"2,928"
마포구,용강동,37,88,103,396,24,24,76,121,30,67,47,132,12,686,41,107,43,233,45,303
