sensor,agg,axis,feature_name
fBodyAcc,bandsEnergy(),"49,56","fBodyAcc-bandsEnergy()-49,56"
fBodyAcc,bandsEnergy(),"57,64","fBodyAcc-bandsEnergy()-57,64"
fBodyAcc,bandsEnergy(),"1,16","fBodyAcc-bandsEnergy()-1,16"
fBodyAcc,bandsEnergy(),"17,32","fBodyAcc-bandsEnergy()-17,32"
fBodyAcc,bandsEnergy(),"33,48","fBodyAcc-bandsEnergy()-33,48"
fBodyAcc,bandsEnergy(),"49,64","fBodyAcc-bandsEnergy()-49,64"
fBodyAcc,bandsEnergy(),"1,24","fBodyAcc-bandsEnergy()-1,24"
fBodyAcc,bandsEnergy(),"25,48","fBodyAcc-bandsEnergy()-25,48"
fBodyAcc,bandsEnergy(),"1,8.1","fBodyAcc-bandsEnergy()-1,8.1"
fBodyAcc,bandsEnergy(),"9,16.1","fBodyAcc-bandsEnergy()-9,16.1"
fBodyAcc,bandsEnergy(),"17,24.1","fBodyAcc-bandsEnergy()-17,24.1"
fBodyAcc,bandsEnergy(),"25,32.1","fBodyAcc-bandsEnergy()-25,32.1"
fBodyAcc,bandsEnergy(),"33,40.1","fBodyAcc-bandsEnergy()-33,40.1"
fBodyAcc,bandsEnergy(),"41,48.1","fBodyAcc-bandsEnergy()-41,48.1"
fBodyAcc,bandsEnergy(),"49,56.1","fBodyAcc-bandsEnergy()-49,56.1"
fBodyAcc,bandsEnergy(),"57,64.1","fBodyAcc-bandsEnergy()-57,64.1"
fBodyAcc,bandsEnergy(),"1,16.1","fBodyAcc-bandsEnergy()-1,16.1"
fBodyAcc,bandsEnergy(),"17,32.1","fBodyAcc-bandsEnergy()-17,32.1"
fBodyAcc,bandsEnergy(),"33,48.1","fBodyAcc-bandsEnergy()-33,48.1"
fBodyAcc,bandsEnergy(),"49,64.1","fBodyAcc-bandsEnergy()-49,64.1"
fBodyAcc,bandsEnergy(),"1,24.1","fBodyAcc-bandsEnergy()-1,24.1"
fBodyAcc,bandsEnergy(),"25,48.1","fBodyAcc-bandsEnergy()-25,48.1"
fBodyAcc,bandsEnergy(),"1,8.2","fBodyAcc-bandsEnergy()-1,8.2"
fBodyAcc,bandsEnergy(),"9,16.2","fBodyAcc-bandsEnergy()-9,16.2"
fBodyAcc,bandsEnergy(),"17,24.2","fBodyAcc-bandsEnergy()-17,24.2"
fBodyAcc,bandsEnergy(),"25,32.2","fBodyAcc-bandsEnergy()-25,32.2"
fBodyAcc,bandsEnergy(),"33,40.2","fBodyAcc-bandsEnergy()-33,40.2"
fBodyAcc,bandsEnergy(),"41,48.2","fBodyAcc-bandsEnergy()-41,48.2"
fBodyAcc,bandsEnergy(),"49,56.2","fBodyAcc-bandsEnergy()-49,56.2"
fBodyAcc,bandsEnergy(),"57,64.2","fBodyAcc-bandsEnergy()-57,64.2"
fBodyAcc,bandsEnergy(),"1,16.2","fBodyAcc-bandsEnergy()-1,16.2"
fBodyAcc,bandsEnergy(),"17,32.2","fBodyAcc-bandsEnergy()-17,32.2"
fBodyAcc,bandsEnergy(),"33,48.2","fBodyAcc-bandsEnergy()-33,48.2"
fBodyAcc,bandsEnergy(),"49,64.2","fBodyAcc-bandsEnergy()-49,64.2"
fBodyAcc,bandsEnergy(),"1,24.2","fBodyAcc-bandsEnergy()-1,24.2"
fBodyAcc,bandsEnergy(),"25,48.2","fBodyAcc-bandsEnergy()-25,48.2"
fBodyAccJerk,mean(),X,fBodyAccJerk-mean()-X
fBodyAccJerk,mean(),Y,fBodyAccJerk-mean()-Y
fBodyAccJerk,mean(),Z,fBodyAccJerk-mean()-Z
fBodyAccJerk,std(),X,fBodyAccJerk-std()-X
fBodyAccJerk,std(),Y,fBodyAccJerk-std()-Y
fBodyAccJerk,std(),Z,fBodyAccJerk-std()-Z
fBodyAccJerk,mad(),X,fBodyAccJerk-mad()-X
fBodyAccJerk,mad(),Y,fBodyAccJerk-mad()-Y
fBodyAccJerk,mad(),Z,fBodyAccJerk-mad()-Z
fBodyAccJerk,max(),X,fBodyAccJerk-max()-X
fBodyAccJerk,max(),Y,fBodyAccJerk-max()-Y
fBodyAccJerk,max(),Z,fBodyAccJerk-max()-Z
fBodyAccJerk,min(),X,fBodyAccJerk-min()-X
fBodyAccJerk,min(),Y,fBodyAccJerk-min()-Y
fBodyAccJerk,min(),Z,fBodyAccJerk-min()-Z
fBodyAccJerk,sma(),,fBodyAccJerk-sma()
fBodyAccJerk,energy(),X,fBodyAccJerk-energy()-X
fBodyAccJerk,energy(),Y,fBodyAccJerk-energy()-Y
fBodyAccJerk,energy(),Z,fBodyAccJerk-energy()-Z
fBodyAccJerk,iqr(),X,fBodyAccJerk-iqr()-X
fBodyAccJerk,iqr(),Y,fBodyAccJerk-iqr()-Y
fBodyAccJerk,iqr(),Z,fBodyAccJerk-iqr()-Z
fBodyAccJerk,entropy(),X,fBodyAccJerk-entropy()-X
fBodyAccJerk,entropy(),Y,fBodyAccJerk-entropy()-Y
fBodyAccJerk,entropy(),Z,fBodyAccJerk-entropy()-Z
fBodyAccJerk,maxInds,X,fBodyAccJerk-maxInds-X
fBodyAccJerk,maxInds,Y,fBodyAccJerk-maxInds-Y
fBodyAccJerk,maxInds,Z,fBodyAccJerk-maxInds-Z
fBodyAccJerk,meanFreq(),X,fBodyAccJerk-meanFreq()-X
fBodyAccJerk,meanFreq(),Y,fBodyAccJerk-meanFreq()-Y
fBodyAccJerk,meanFreq(),Z,fBodyAccJerk-meanFreq()-Z
fBodyAccJerk,skewness(),X,fBodyAccJerk-skewness()-X
fBodyAccJerk,kurtosis(),X,fBodyAccJerk-kurtosis()-X
fBodyAccJerk,skewness(),Y,fBodyAccJerk-skewness()-Y
fBodyAccJerk,kurtosis(),Y,fBodyAccJerk-kurtosis()-Y
fBodyAccJerk,skewness(),Z,fBodyAccJerk-skewness()-Z
fBodyAccJerk,kurtosis(),Z,fBodyAccJerk-kurtosis()-Z
fBodyAccJerk,bandsEnergy(),"1,8","fBodyAccJerk-bandsEnergy()-1,8"
fBodyAccJerk,bandsEnergy(),"9,16","fBodyAccJerk-bandsEnergy()-9,16"
fBodyAccJerk,bandsEnergy(),"17,24","fBodyAccJerk-bandsEnergy()-17,24"
fBodyAccJerk,bandsEnergy(),"25,32","fBodyAccJerk-bandsEnergy()-25,32"
fBodyAccJerk,bandsEnergy(),"33,40","fBodyAccJerk-bandsEnergy()-33,40"
fBodyAccJerk,bandsEnergy(),"41,48","fBodyAccJerk-bandsEnergy()-41,48"
fBodyAccJerk,bandsEnergy(),"49,56","fBodyAccJerk-bandsEnergy()-49,56"
fBodyAccJerk,bandsEnergy(),"57,64","fBodyAccJerk-bandsEnergy()-57,64"
fBodyAccJerk,bandsEnergy(),"1,16","fBodyAccJerk-bandsEnergy()-1,16"
fBodyAccJerk,bandsEnergy(),"17,32","fBodyAccJerk-bandsEnergy()-17,32"
fBodyAccJerk,bandsEnergy(),"33,48","fBodyAccJerk-bandsEnergy()-33,48"
fBodyAccJerk,bandsEnergy(),"49,64","fBodyAccJerk-bandsEnergy()-49,64"
fBodyAccJerk,bandsEnergy(),"1,24","fBodyAccJerk-bandsEnergy()-1,24"
fBodyAccJerk,bandsEnergy(),"25,48","fBodyAccJerk-bandsEnergy()-25,48"
fBodyAccJerk,bandsEnergy(),"1,8.1","fBodyAccJerk-bandsEnergy()-1,8.1"
fBodyAccJerk,bandsEnergy(),"9,16.1","fBodyAccJerk-bandsEnergy()-9,16.1"
fBodyAccJerk,bandsEnergy(),"17,24.1","fBodyAccJerk-bandsEnergy()-17,24.1"
fBodyAccJerk,bandsEnergy(),"25,32.1","fBodyAccJerk-bandsEnergy()-25,32.1"
fBodyAccJerk,bandsEnergy(),"33,40.1","fBodyAccJerk-bandsEnergy()-33,40.1"
fBodyAccJerk,bandsEnergy(),"41,48.1","fBodyAccJerk-bandsEnergy()-41,48.1"
fBodyAccJerk,bandsEnergy(),"49,56.1","fBodyAccJerk-bandsEnergy()-49,56.1"
fBodyAccJerk,bandsEnergy(),"57,64.1","fBodyAccJerk-bandsEnergy()-57,64.1"
fBodyAccJerk,bandsEnergy(),"1,16.1","fBodyAccJerk-bandsEnergy()-1,16.1"
fBodyAccJerk,bandsEnergy(),"17,32.1","fBodyAccJerk-bandsEnergy()-17,32.1"
fBodyAccJerk,bandsEnergy(),"33,48.1","fBodyAccJerk-bandsEnergy()-33,48.1"
fBodyAccJerk,bandsEnergy(),"49,64.1","fBodyAccJerk-bandsEnergy()-49,64.1"
fBodyAccJerk,bandsEnergy(),"1,24.1","fBodyAccJerk-bandsEnergy()-1,24.1"
fBodyAccJerk,bandsEnergy(),"25,48.1","fBodyAccJerk-bandsEnergy()-25,48.1"
fBodyAccJerk,bandsEnergy(),"1,8.2","fBodyAccJerk-bandsEnergy()-1,8.2"
fBodyAccJerk,bandsEnergy(),"9,16.2","fBodyAccJerk-bandsEnergy()-9,16.2"
fBodyAccJerk,bandsEnergy(),"17,24.2","fBodyAccJerk-bandsEnergy()-17,24.2"
fBodyAccJerk,bandsEnergy(),"25,32.2","fBodyAccJerk-bandsEnergy()-25,32.2"
fBodyAccJerk,bandsEnergy(),"33,40.2","fBodyAccJerk-bandsEnergy()-33,40.2"
fBodyAccJerk,bandsEnergy(),"41,48.2","fBodyAccJerk-bandsEnergy()-41,48.2"
fBodyAccJerk,bandsEnergy(),"49,56.2","fBodyAccJerk-bandsEnergy()-49,56.2"
fBodyAccJerk,bandsEnergy(),"57,64.2","fBodyAccJerk-bandsEnergy()-57,64.2"
fBodyAccJerk,bandsEnergy(),"1,16.2","fBodyAccJerk-bandsEnergy()-1,16.2"
fBodyAccJerk,bandsEnergy(),"17,32.2","fBodyAccJerk-bandsEnergy()-17,32.2"
fBodyAccJerk,bandsEnergy(),"33,48.2","fBodyAccJerk-bandsEnergy()-33,48.2"
fBodyAccJerk,bandsEnergy(),"49,64.2","fBodyAccJerk-bandsEnergy()-49,64.2"
fBodyAccJerk,bandsEnergy(),"1,24.2","fBodyAccJerk-bandsEnergy()-1,24.2"
fBodyAccJerk,bandsEnergy(),"25,48.2","fBodyAccJerk-bandsEnergy()-25,48.2"
fBodyGyro,mean(),X,fBodyGyro-mean()-X
fBodyGyro,mean(),Y,fBodyGyro-mean()-Y
fBodyGyro,mean(),Z,fBodyGyro-mean()-Z
fBodyGyro,std(),X,fBodyGyro-std()-X
fBodyGyro,std(),Y,fBodyGyro-std()-Y
fBodyGyro,std(),Z,fBodyGyro-std()-Z
fBodyGyro,mad(),X,fBodyGyro-mad()-X
fBodyGyro,mad(),Y,fBodyGyro-mad()-Y
fBodyGyro,mad(),Z,fBodyGyro-mad()-Z
fBodyGyro,max(),X,fBodyGyro-max()-X
fBodyGyro,max(),Y,fBodyGyro-max()-Y
fBodyGyro,max(),Z,fBodyGyro-max()-Z
fBodyGyro,min(),X,fBodyGyro-min()-X
fBodyGyro,min(),Y,fBodyGyro-min()-Y
fBodyGyro,min(),Z,fBodyGyro-min()-Z
fBodyGyro,sma(),,fBodyGyro-sma()
fBodyGyro,energy(),X,fBodyGyro-energy()-X
fBodyGyro,energy(),Y,fBodyGyro-energy()-Y
fBodyGyro,energy(),Z,fBodyGyro-energy()-Z
fBodyGyro,iqr(),X,fBodyGyro-iqr()-X
fBodyGyro,iqr(),Y,fBodyGyro-iqr()-Y
fBodyGyro,iqr(),Z,fBodyGyro-iqr()-Z
fBodyGyro,entropy(),X,fBodyGyro-entropy()-X
fBodyGyro,entropy(),Y,fBodyGyro-entropy()-Y
fBodyGyro,entropy(),Z,fBodyGyro-entropy()-Z
fBodyGyro,maxInds,X,fBodyGyro-maxInds-X
fBodyGyro,maxInds,Y,fBodyGyro-maxInds-Y
fBodyGyro,maxInds,Z,fBodyGyro-maxInds-Z
fBodyGyro,meanFreq(),X,fBodyGyro-meanFreq()-X
fBodyGyro,meanFreq(),Y,fBodyGyro-meanFreq()-Y
fBodyGyro,meanFreq(),Z,fBodyGyro-meanFreq()-Z
fBodyGyro,skewness(),X,fBodyGyro-skewness()-X
fBodyGyro,kurtosis(),X,fBodyGyro-kurtosis()-X
fBodyGyro,skewness(),Y,fBodyGyro-skewness()-Y
fBodyGyro,kurtosis(),Y,fBodyGyro-kurtosis()-Y
fBodyGyro,skewness(),Z,fBodyGyro-skewness()-Z
fBodyGyro,kurtosis(),Z,fBodyGyro-kurtosis()-Z
fBodyGyro,bandsEnergy(),"1,8","fBodyGyro-bandsEnergy()-1,8"
fBodyGyro,bandsEnergy(),"9,16","fBodyGyro-bandsEnergy()-9,16"
fBodyGyro,bandsEnergy(),"17,24","fBodyGyro-bandsEnergy()-17,24"
fBodyGyro,bandsEnergy(),"25,32","fBodyGyro-bandsEnergy()-25,32"
fBodyGyro,bandsEnergy(),"33,40","fBodyGyro-bandsEnergy()-33,40"
fBodyGyro,bandsEnergy(),"41,48","fBodyGyro-bandsEnergy()-41,48"
fBodyGyro,bandsEnergy(),"49,56","fBodyGyro-bandsEnergy()-49,56"
fBodyGyro,bandsEnergy(),"57,64","fBodyGyro-bandsEnergy()-57,64"
fBodyGyro,bandsEnergy(),"1,16","fBodyGyro-bandsEnergy()-1,16"
fBodyGyro,bandsEnergy(),"17,32","fBodyGyro-bandsEnergy()-17,32"
fBodyGyro,bandsEnergy(),"33,48","fBodyGyro-bandsEnergy()-33,48"
fBodyGyro,bandsEnergy(),"49,64","fBodyGyro-bandsEnergy()-49,64"
fBodyGyro,bandsEnergy(),"1,24","fBodyGyro-bandsEnergy()-1,24"
fBodyGyro,bandsEnergy(),"25,48","fBodyGyro-bandsEnergy()-25,48"
fBodyGyro,bandsEnergy(),"1,8","fBodyGyro-bandsEnergy()-1,8"
fBodyGyro,bandsEnergy(),"9,16","fBodyGyro-bandsEnergy()-9,16"
fBodyGyro,bandsEnergy(),"17,24","fBodyGyro-bandsEnergy()-17,24"
fBodyGyro,bandsEnergy(),"25,32","fBodyGyro-bandsEnergy()-25,32"
fBodyGyro,bandsEnergy(),"33,40","fBodyGyro-bandsEnergy()-33,40"
fBodyGyro,bandsEnergy(),"41,48","fBodyGyro-bandsEnergy()-41,48"
fBodyGyro,bandsEnergy(),"49,56","fBodyGyro-bandsEnergy()-49,56"
fBodyGyro,bandsEnergy(),"57,64","fBodyGyro-bandsEnergy()-57,64"
fBodyGyro,bandsEnergy(),"1,16","fBodyGyro-bandsEnergy()-1,16"
fBodyGyro,bandsEnergy(),"17,32","fBodyGyro-bandsEnergy()-17,32"
fBodyGyro,bandsEnergy(),"33,48","fBodyGyro-bandsEnergy()-33,48"
fBodyGyro,bandsEnergy(),"49,64","fBodyGyro-bandsEnergy()-49,64"
fBodyGyro,bandsEnergy(),"1,24","fBodyGyro-bandsEnergy()-1,24"
fBodyGyro,bandsEnergy(),"25,48","fBodyGyro-bandsEnergy()-25,48"
fBodyGyro,bandsEnergy(),"1,8","fBodyGyro-bandsEnergy()-1,8"
fBodyGyro,bandsEnergy(),"9,16","fBodyGyro-bandsEnergy()-9,16"
fBodyGyro,bandsEnergy(),"17,24","fBodyGyro-bandsEnergy()-17,24"
fBodyGyro,bandsEnergy(),"25,32","fBodyGyro-bandsEnergy()-25,32"
fBodyGyro,bandsEnergy(),"33,40","fBodyGyro-bandsEnergy()-33,40"
fBodyGyro,bandsEnergy(),"41,48","fBodyGyro-bandsEnergy()-41,48"
fBodyGyro,bandsEnergy(),"49,56","fBodyGyro-bandsEnergy()-49,56"
fBodyGyro,bandsEnergy(),"57,64","fBodyGyro-bandsEnergy()-57,64"
fBodyGyro,bandsEnergy(),"1,16","fBodyGyro-bandsEnergy()-1,16"
fBodyGyro,bandsEnergy(),"17,32","fBodyGyro-bandsEnergy()-17,32"
fBodyGyro,bandsEnergy(),"33,48","fBodyGyro-bandsEnergy()-33,48"
fBodyGyro,bandsEnergy(),"49,64","fBodyGyro-bandsEnergy()-49,64"
fBodyGyro,bandsEnergy(),"1,24","fBodyGyro-bandsEnergy()-1,24"
fBodyGyro,bandsEnergy(),"25,48","fBodyGyro-bandsEnergy()-25,48"
fBodyAccMag,mean(),,fBodyAccMag-mean()
fBodyAccMag,std(),,fBodyAccMag-std()
fBodyAccMag,mad(),,fBodyAccMag-mad()
fBodyAccMag,max(),,fBodyAccMag-max()
fBodyAccMag,min(),,fBodyAccMag-min()
fBodyAccMag,sma(),,fBodyAccMag-sma()
fBodyAccMag,energy(),,fBodyAccMag-energy()
fBodyAccMag,iqr(),,fBodyAccMag-iqr()
fBodyAccMag,entropy(),,fBodyAccMag-entropy()
fBodyAccMag,maxInds,,fBodyAccMag-maxInds
fBodyAccMag,meanFreq(),,fBodyAccMag-meanFreq()
fBodyAccMag,skewness(),,fBodyAccMag-skewness()
fBodyAccMag,kurtosis(),,fBodyAccMag-kurtosis()
fBodyBodyAccJerkMag,mean(),,fBodyBodyAccJerkMag-mean()
fBodyBodyAccJerkMag,std(),,fBodyBodyAccJerkMag-std()
fBodyBodyAccJerkMag,mad(),,fBodyBodyAccJerkMag-mad()
fBodyBodyAccJerkMag,max(),,fBodyBodyAccJerkMag-max()
fBodyBodyAccJerkMag,min(),,fBodyBodyAccJerkMag-min()
fBodyBodyAccJerkMag,sma(),,fBodyBodyAccJerkMag-sma()
fBodyBodyAccJerkMag,energy(),,fBodyBodyAccJerkMag-energy()
fBodyBodyAccJerkMag,iqr(),,fBodyBodyAccJerkMag-iqr()
fBodyBodyAccJerkMag,entropy(),,fBodyBodyAccJerkMag-entropy()
fBodyBodyAccJerkMag,maxInds,,fBodyBodyAccJerkMag-maxInds
fBodyBodyAccJerkMag,meanFreq(),,fBodyBodyAccJerkMag-meanFreq()
fBodyBodyAccJerkMag,skewness(),,fBodyBodyAccJerkMag-skewness()
fBodyBodyAccJerkMag,kurtosis(),,fBodyBodyAccJerkMag-kurtosis()
fBodyBodyGyroMag,mean(),,fBodyBodyGyroMag-mean()
fBodyBodyGyroMag,std(),,fBodyBodyGyroMag-std()
fBodyBodyGyroMag,mad(),,fBodyBodyGyroMag-mad()
fBodyBodyGyroMag,max(),,fBodyBodyGyroMag-max()
fBodyBodyGyroMag,min(),,fBodyBodyGyroMag-min()
fBodyBodyGyroMag,sma(),,fBodyBodyGyroMag-sma()
fBodyBodyGyroMag,energy(),,fBodyBodyGyroMag-energy()
fBodyBodyGyroMag,iqr(),,fBodyBodyGyroMag-iqr()
fBodyBodyGyroMag,entropy(),,fBodyBodyGyroMag-entropy()
fBodyBodyGyroMag,maxInds,,fBodyBodyGyroMag-maxInds
fBodyBodyGyroMag,meanFreq(),,fBodyBodyGyroMag-meanFreq()
fBodyBodyGyroMag,skewness(),,fBodyBodyGyroMag-skewness()
fBodyBodyGyroMag,kurtosis(),,fBodyBodyGyroMag-kurtosis()
fBodyBodyGyroJerkMag,mean(),,fBodyBodyGyroJerkMag-mean()
fBodyBodyGyroJerkMag,std(),,fBodyBodyGyroJerkMag-std()
fBodyBodyGyroJerkMag,mad(),,fBodyBodyGyroJerkMag-mad()
fBodyBodyGyroJerkMag,max(),,fBodyBodyGyroJerkMag-max()
fBodyBodyGyroJerkMag,min(),,fBodyBodyGyroJerkMag-min()
fBodyBodyGyroJerkMag,sma(),,fBodyBodyGyroJerkMag-sma()
fBodyBodyGyroJerkMag,energy(),,fBodyBodyGyroJerkMag-energy()
fBodyBodyGyroJerkMag,iqr(),,fBodyBodyGyroJerkMag-iqr()
fBodyBodyGyroJerkMag,entropy(),,fBodyBodyGyroJerkMag-entropy()
fBodyBodyGyroJerkMag,maxInds,,fBodyBodyGyroJerkMag-maxInds
fBodyBodyGyroJerkMag,meanFreq(),,fBodyBodyGyroJerkMag-meanFreq()
fBodyBodyGyroJerkMag,skewness(),,fBodyBodyGyroJerkMag-skewness()
fBodyBodyGyroJerkMag,kurtosis(),,fBodyBodyGyroJerkMag-kurtosis()
angle,tBodyAccMean,gravity,"angle(tBodyAccMean,gravity)"
angle,tBodyAccJerkMean,gravityMean,"angle(tBodyAccJerkMean),gravityMean)"
angle,tBodyGyroMean,gravityMean,"angle(tBodyGyroMean,gravityMean)"
angle,tBodyGyroJerkMean,gravityMean,"angle(tBodyGyroJerkMean,gravityMean)"
angle,X,gravityMean,"angle(X,gravityMean)"
angle,Y,gravityMean,"angle(Y,gravityMean)"
angle,Z,gravityMean,"angle(Z,gravityMean)"
